iso3,country_name_standard,dashboard_name,wb_name,wb_region,wb_income,aquastat_name,faostat_code,geojson_name,gee_boundary_name,include_flag,source,notes
CAF,Central African Republic,Central African Republic,Central African Republic,Sub-Saharan Africa ,Low income,,,,,YES,wb_only,
CAN,Canada,Canada,Canada,North America,High income,,,,,YES,wb_only,
CHE,Switzerland,Switzerland,Switzerland,Europe & Central Asia,High income,,,,,YES,wb_only,
CHI,Channel Islands,Channel Islands,Channel Islands,Europe & Central Asia,High income,,,,,NO,wb_only,WB aggregate (Jersey+Guernsey); no LSIB polygon; JEY and GGY handled separately
CHL,Chile,Chile,Chile,Latin America & Caribbean ,High income,,,,,YES,wb_only,
CHN,China,China,China,East Asia & Pacific,Upper middle income,,,,,YES,wb_only,
CIV,Cote d'Ivoire,Cote d'Ivoire,Cote d'Ivoire,Sub-Saharan Africa ,Lower middle income,,,,,REVIEW,wb_only,Côte d'Ivoire — name varies (Ivory Coast)
CMR,Cameroon,Cameroon,Cameroon,Sub-Saharan Africa ,Lower middle income,,,,,YES,wb_only,
COD,"Congo, Dem. Rep.","Congo, Dem. Rep.","Congo, Dem. Rep.",Sub-Saharan Africa ,Low income,,,,,REVIEW,wb_only,Democratic Republic of Congo — often split from COG in datasets
COG,"Congo, Rep.","Congo, Rep.","Congo, Rep.",Sub-Saharan Africa ,Lower middle income,,,,,YES,wb_only,
COL,Colombia,Colombia,Colombia,Latin America & Caribbean ,Upper middle income,,,,,YES,wb_only,
COM,Comoros,Comoros,Comoros,Sub-Saharan Africa ,Lower middle income,,,,,YES,wb_only,
CPV,Cabo Verde,Cabo Verde,Cabo Verde,Sub-Saharan Africa ,Upper middle income,,,,,YES,wb_only,
CRI,Costa Rica,Costa Rica,Costa Rica,Latin America & Caribbean ,High income,,,,,YES,wb_only,
CUB,Cuba,Cuba,Cuba,Latin America & Caribbean ,Upper middle income,,,,,REVIEW,wb_only,Cuba — World Bank data often missing
CUW,Curacao,Curacao,Curacao,Latin America & Caribbean ,High income,,,,,YES,wb_only,
CYM,Cayman Islands,Cayman Islands,Cayman Islands,Latin America & Caribbean ,High income,,,,,YES,wb_only,
